Name,Year,Type
Device 480,1999,Type 7
Device 481,1999,Type 13
Device 482,2017,Type 18
Device 483,2008,Type 18
Device 484,2006,Type 12
Device 485,2006,Type 14
Device 486,1982,Type 10
Device 487,2001,Type 2
Device 488,2017,Type 16
Device 489,2014,Type 4
Device 490,1993,Type 13
Device 491,2006,Type 2
Device 492,2010,Type 7
Device 493,1993,Type 3
Device 494,1998,Type 6
Device 495,2013,Type 16
Device 496,1985,Type 8
Device 497,2014,Type 19
Device 498,1982,Type 16
Device 499,1984,Type 1
Device 500,1995,Type 7
Device 501,2004,Type 14
Device 502,1992,Type 19
Device 503,1982,Type 7
Device 504,1991,Type 5
Device 505,2002,Type 2
Device 506,1998,Type 6
Device 507,1997,Type 14
Device 508,1989,Type 12
Device 509,2004,Type 9
Device 510,1991,Type 8
Device 511,1997,Type 9
Device 512,1986,Type 18
Device 513,2004,Type 17
Device 514,2006,Type 18
Device 515,2002,Type 9
Device 516,1996,Type 2
Device 517,2007,Type 19
Device 518,2008,Type 6
Device 519,2012,Type 3
Device 520,1982,Type 15
Device 521,1984,Type 9
Device 522,1997,Type 14
Device 523,1983,Type 10
Device 524,1980,Type 12
Device 525,1988,Type 5
Device 526,1987,Type 18
Device 527,2017,Type 5
Device 528,1996,Type 4
Device 529,1986,Type 16
Device 530,1998,Type 16
Device 531,2010,Type 14
Device 532,1995,Type 10
Device 533,1993,Type 9
Device 534,2009,Type 12
Device 535,1984,Type 18
Device 536,2015,Type 15
Device 537,1992,Type 6
Device 538,2002,Type 10
Device 539,1993,Type 6
Device 540,2001,Type 19
Device 541,1994,Type 3
Device 542,1988,Type 19
Device 543,1992,Type 8
Device 544,2009,Type 13
Device 545,1994,Type 17
Device 546,2011,Type 3
Device 547,1981,Type 2
Device 548,2002,Type 8
Device 549,2017,Type 7
Device 550,1985,Type 3
Device 551,2000,Type 13
Device 552,1991,Type 1
Device 553,2005,Type 7
Device 554,1984,Type 13
Device 555,2002,Type 8
Device 556,2015,Type 7
Device 557,2015,Type 14
Device 558,2007,Type 13
Device 559,2015,Type 10
Device 560,1984,Type 1
Device 561,1989,Type 12
Device 562,1999,Type 4
Device 563,2002,Type 18
Device 564,2016,Type 14
Device 565,2001,Type 8
Device 566,1980,Type 8
Device 567,2008,Type 17
Device 568,2006,Type 9
Device 569,2013,Type 17
Device 570,1985,Type 19
Device 571,2004,Type 5
Device 572,2003,Type 14
Device 573,1993,Type 5
Device 574,1995,Type 5
Device 575,2012,Type 18
Device 576,2005,Type 19
Device 577,1996,Type 2
Device 578,1986,Type 9
Device 579,2002,Type 11
Device 580,2007,Type 10
Device 581,1984,Type 7
Device 582,2002,Type 11
Device 583,2014,Type 4
Device 584,2011,Type 5
Device 585,1983,Type 11
Device 586,1988,Type 18
Device 587,1991,Type 6
Device 588,1993,Type 7
Device 589,1992,Type 7
Device 590,1996,Type 11
Device 591,2004,Type 9
Device 592,2002,Type 18
Device 593,1980,Type 17
Device 594,1999,Type 10
Device 595,1991,Type 14
Device 596,2003,Type 10
Device 597,1991,Type 7
Device 598,1985,Type 16
Device 599,1985,Type 12
Device 600,2015,Type 14
Device 601,2000,Type 18
Device 602,1998,Type 4
Device 603,2012,Type 1
Device 604,1999,Type 15
Device 605,2011,Type 9
Device 606,1986,Type 3
Device 607,1990,Type 8
Device 608,1987,Type 7
Device 609,1983,Type 1
Device 610,2016,Type 1
Device 611,1980,Type 3
Device 612,1997,Type 8
Device 613,2008,Type 19
Device 614,1992,Type 7
Device 615,1994,Type 14
Device 616,2018,Type 13
Device 617,1980,Type 11
Device 618,1988,Type 3
Device 619,2013,Type 7
Device 620,1996,Type 3
Device 621,2015,Type 11
Device 622,2010,Type 14
Device 623,2007,Type 18
Device 624,1985,Type 4
Device 625,1989,Type 4
Device 626,1998,Type 19
Device 627,1983,Type 2
Device 628,2002,Type 14
Device 629,1989,Type 1
Device 630,1996,Type 12
Device 631,1996,Type 17
Device 632,1987,Type 3
Device 633,2007,Type 8
Device 634,2014,Type 7
Device 635,1998,Type 6
Device 636,1999,Type 2
Device 637,1988,Type 3
Device 638,2001,Type 13
Device 639,2014,Type 17
Device 640,2008,Type 2
Device 641,2017,Type 1
Device 642,2005,Type 12
Device 643,1992,Type 15
Device 644,1993,Type 2
Device 645,1998,Type 12
Device 646,1989,Type 9
Device 647,1991,Type 7
Device 648,2005,Type 10
Device 649,1987,Type 8
Device 650,2017,Type 14
Device 651,2007,Type 15
Device 652,1988,Type 13
Device 653,1998,Type 12
Device 654,1995,Type 13
Device 655,1992,Type 11
Device 656,1989,Type 3
Device 657,2001,Type 7
Device 658,2007,Type 2
Device 659,1983,Type 16
Device 660,1988,Type 16
Device 661,1995,Type 16
Device 662,1996,Type 3
Device 663,2018,Type 19
Device 664,1981,Type 18
Device 665,1991,Type 1
Device 666,1987,Type 18
Device 667,2009,Type 16
Device 668,2009,Type 3
Device 669,2012,Type 16
Device 670,1998,Type 13
Device 671,1995,Type 12
Device 672,2011,Type 13
Device 673,2012,Type 13
Device 674,2000,Type 8
Device 675,2018,Type 2
Device 676,2018,Type 11
Device 677,1994,Type 3
Device 678,2006,Type 3
Device 679,2008,Type 7
Device 680,2010,Type 16
Device 681,1990,Type 13
Device 682,1997,Type 12
Device 683,1992,Type 10
Device 684,1996,Type 3
Device 685,1983,Type 4
Device 686,2005,Type 11
Device 687,2013,Type 16
Device 688,2013,Type 14
Device 689,2001,Type 6
Device 690,1991,Type 13
Device 691,2016,Type 5
Device 692,2009,Type 2
Device 693,2000,Type 17
Device 694,2000,Type 2
Device 695,1989,Type 4
Device 696,1988,Type 3
Device 697,2015,Type 7
Device 698,2008,Type 9
Device 699,2004,Type 11
Device 700,2017,Type 17
Device 701,1986,Type 6
Device 702,2011,Type 16
Device 703,2005,Type 9
Device 704,1983,Type 10
Device 705,1983,Type 9
Device 706,2002,Type 5
Device 707,1985,Type 14
Device 708,1992,Type 14
Device 709,2004,Type 10
Device 710,1990,Type 1
Device 711,1985,Type 10
Device 712,1990,Type 7
Device 713,2012,Type 4
Device 714,1987,Type 13
Device 715,2007,Type 12
Device 716,2006,Type 9
Device 717,1998,Type 18
Device 718,1988,Type 16
Device 719,1980,Type 10
Device 720,2011,Type 14
Device 721,1988,Type 16
Device 722,1999,Type 2
Device 723,2009,Type 5
Device 724,2008,Type 13
Device 725,1994,Type 10
Device 726,2008,Type 10
Device 727,1987,Type 2
Device 728,1994,Type 3
Device 729,1983,Type 2
Device 730,1997,Type 7
Device 731,2009,Type 12
Device 732,2004,Type 17
Device 733,2014,Type 11
Device 734,1980,Type 19
Device 735,2004,Type 12
Device 736,1988,Type 19
Device 737,2002,Type 9
Device 738,1993,Type 10
Device 739,1998,Type 9
Device 740,1995,Type 15
Device 741,2015,Type 9
Device 742,1997,Type 3
Device 743,1992,Type 13
Device 744,2002,Type 8
Device 745,1998,Type 4
Device 746,1980,Type 16
Device 747,1986,Type 11
Device 748,1990,Type 4
Device 749,2017,Type 9
Device 750,1996,Type 19
Device 751,2012,Type 5
Device 752,2003,Type 9
Device 753,2009,Type 9
Device 754,2014,Type 19
Device 755,1987,Type 13
Device 756,1999,Type 11
Device 757,2010,Type 1
Device 758,2008,Type 19
Device 759,2015,Type 3
Device 760,1985,Type 14
Device 761,1992,Type 10
Device 762,1984,Type 2
Device 763,2010,Type 9
Device 764,1990,Type 16
Device 765,1993,Type 4
Device 766,1995,Type 7
Device 767,1988,Type 4
Device 768,2015,Type 16
Device 769,1996,Type 18
Device 770,2002,Type 2
Device 771,2013,Type 8
Device 772,2008,Type 11
Device 773,2002,Type 13
Device 774,2002,Type 4
Device 775,1995,Type 15
Device 776,1982,Type 5
Device 777,1998,Type 8
Device 778,1983,Type 13
Device 779,1996,Type 3
Device 780,2017,Type 7
Device 781,2000,Type 18
Device 782,1981,Type 16
Device 783,1995,Type 10
Device 784,2018,Type 6
Device 785,1987,Type 12
Device 786,2002,Type 19
Device 787,1997,Type 5
Device 788,1985,Type 9
Device 789,2010,Type 9
Device 790,2003,Type 3
Device 791,2010,Type 5
Device 792,1994,Type 12
Device 793,2003,Type 2
Device 794,2014,Type 12
Device 795,1992,Type 12
Device 796,1980,Type 3
Device 797,2011,Type 18
Device 798,1999,Type 16
Device 799,2014,Type 17
Device 800,1983,Type 9
Device 801,2015,Type 9
Device 802,1993,Type 6
Device 803,1985,Type 10
Device 804,1999,Type 18
Device 805,2013,Type 16
Device 806,2010,Type 2
Device 807,2003,Type 13
Device 808,2000,Type 9
Device 809,2009,Type 4
Device 810,2003,Type 8
Device 811,1981,Type 13
Device 812,2003,Type 8
Device 813,1985,Type 10
Device 814,1994,Type 8
Device 815,2006,Type 10
Device 816,1983,Type 2
Device 817,2006,Type 6
Device 818,2001,Type 11
Device 819,2006,Type 19
Device 820,2003,Type 15
Device 821,1982,Type 1
Device 822,1995,Type 12
Device 823,2005,Type 13
Device 824,2007,Type 2
Device 825,2002,Type 10
Device 826,2014,Type 19
Device 827,1980,Type 3
Device 828,1985,Type 1
Device 829,2010,Type 18
Device 830,1988,Type 15
Device 831,1994,Type 12
Device 832,2008,Type 6
Device 833,2000,Type 12
Device 834,1980,Type 7
Device 835,2002,Type 1
Device 836,2018,Type 13
Device 837,1988,Type 17
Device 838,2016,Type 1
Device 839,1982,Type 5
Device 840,2000,Type 5
Device 841,2001,Type 17
Device 842,2016,Type 17
Device 843,2004,Type 13
Device 844,1986,Type 2
Device 845,2012,Type 16
Device 846,2006,Type 17
Device 847,1991,Type 16
Device 848,2003,Type 19
Device 849,1994,Type 8
Device 850,2005,Type 18
Device 851,1983,Type 2
Device 852,1996,Type 15
Device 853,2007,Type 6
Device 854,1983,Type 18
Device 855,1984,Type 16
Device 856,2017,Type 4
Device 857,2010,Type 17
Device 858,1992,Type 5
Device 859,1998,Type 13
Device 860,1983,Type 12
Device 861,1982,Type 13
Device 862,2000,Type 4
Device 863,2007,Type 12
Device 864,2006,Type 18
Device 865,2006,Type 2
Device 866,2011,Type 8
Device 867,2015,Type 8
Device 868,2007,Type 4
Device 869,1985,Type 7
Device 870,2001,Type 16
Device 871,2010,Type 6
Device 872,2010,Type 3
Device 873,2005,Type 18
Device 874,1987,Type 9
Device 875,1994,Type 10
Device 876,1993,Type 17
Device 877,2015,Type 18
Device 878,1992,Type 2
Device 879,1991,Type 10
Device 880,2005,Type 12
Device 881,1983,Type 2
Device 882,2010,Type 9
Device 883,2003,Type 15
Device 884,2010,Type 8
Device 885,2005,Type 15
Device 886,1998,Type 4
Device 887,2007,Type 19
Device 888,2009,Type 5
Device 889,1998,Type 5
Device 890,1988,Type 10
Device 891,1986,Type 19
Device 892,1989,Type 7
Device 893,1985,Type 2
Device 894,2000,Type 14
Device 895,2012,Type 5
Device 896,1991,Type 7
Device 897,2018,Type 9
Device 898,2001,Type 4
Device 899,2010,Type 4
Device 900,2007,Type 11
Device 901,1989,Type 17
Device 902,1992,Type 11
Device 903,1986,Type 8
Device 904,1996,Type 16
Device 905,1990,Type 6
Device 906,1985,Type 17
Device 907,1992,Type 8
Device 908,2003,Type 13
Device 909,2012,Type 11
Device 910,2017,Type 17
Device 911,1996,Type 15
Device 912,1991,Type 16
Device 913,2000,Type 4
Device 914,2003,Type 4
Device 915,1982,Type 14
Device 916,1993,Type 9
Device 917,1989,Type 3
Device 918,1997,Type 11
Device 919,1987,Type 7
Device 920,1997,Type 5
Device 921,1990,Type 5
Device 922,2001,Type 8
Device 923,1994,Type 13
Device 924,1998,Type 17
Device 925,2000,Type 1
Device 926,1999,Type 7
Device 927,1981,Type 14
Device 928,1985,Type 5
Device 929,2000,Type 9
Device 930,1985,Type 12
Device 931,2002,Type 8
Device 932,2002,Type 12
Device 933,2005,Type 14
Device 934,2013,Type 13
Device 935,2007,Type 13
Device 936,1999,Type 10
Device 937,1995,Type 18
Device 938,2004,Type 13
Device 939,1998,Type 14
Device 940,2010,Type 9
Device 941,2008,Type 18
Device 942,1992,Type 1
Device 943,2006,Type 15
Device 944,2002,Type 1
Device 945,1996,Type 13
Device 946,1992,Type 17
Device 947,2008,Type 3
Device 948,1987,Type 1
Device 949,2008,Type 17
Device 950,2013,Type 7
Device 951,2012,Type 7
Device 952,2005,Type 6
Device 953,1999,Type 18
Device 954,2009,Type 8
Device 955,1981,Type 6
Device 956,1982,Type 2
Device 957,2010,Type 15
Device 958,1990,Type 10
Device 959,1983,Type 6
Device 960,1997,Type 19
Device 961,2000,Type 13
Device 962,1982,Type 1
Device 963,1989,Type 16
Device 964,2007,Type 18
Device 965,1987,Type 9
Device 966,2018,Type 14
Device 967,1998,Type 10
Device 968,1985,Type 18
Device 969,1987,Type 15
Device 970,1980,Type 1
Device 971,1987,Type 1
Device 972,2013,Type 13
Device 973,1983,Type 4
Device 974,2017,Type 17
Device 975,1982,Type 1
Device 976,1986,Type 7
Device 977,1998,Type 12
Device 978,1990,Type 11
Device 979,1997,Type 5
Device 980,2000,Type 2
Device 981,1996,Type 3
Device 982,2018,Type 9
Device 983,2016,Type 19
Device 984,2010,Type 12
Device 985,1985,Type 1
Device 986,1997,Type 19
Device 987,2011,Type 14
Device 988,1998,Type 19
Device 989,2016,Type 11
Device 990,1994,Type 6
Device 991,2008,Type 6
Device 992,2009,Type 6
Device 993,2004,Type 13
Device 994,1991,Type 6
Device 995,2000,Type 13
Device 996,2012,Type 14
Device 997,2005,Type 2
Device 998,2002,Type 14
Device 999,1997,Type 12
